raw_csv_parameter_name,relationship_type,direction,shap_rank,shape_fold_consistency,direction_fold_consistency,evidence_label,reason
MEASURE_ET_C100CapPARCAP,flat_no_clear_effect,see_pdp_curve,84,4/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
SIN_ET_DC_RF_Vp_1,flat_no_clear_effect,see_pdp_curve,85,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_RGAN2,flat_no_clear_effect,see_pdp_curve,86,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_Vbkdn_Cap100,flat_no_clear_effect,see_pdp_curve,87,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_lkg_CapFICBRGM,flat_no_clear_effect,see_pdp_curve,88,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
THIN_ET_C_AN_2,flat_no_clear_effect,see_pdp_curve,89,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_Vbpin,flat_no_clear_effect,see_pdp_curve,90,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_Load_Pull_GL_set,flat_no_clear_effect,see_pdp_curve,91,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
TOPSIN_ET_CapPARCAP_0,flat_no_clear_effect,see_pdp_curve,92,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SEC_Vgs_0p5V,flat_no_clear_effect,see_pdp_curve,93,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
ANODE_ET_Ran_con_3,flat_no_clear_effect,see_pdp_curve,94,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_R_f_hr_3,flat_no_clear_effect,see_pdp_curve,95,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_Vbgs_0p1,flat_no_clear_effect,see_pdp_curve,96,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_neg,flat_no_clear_effect,see_pdp_curve,97,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
TOPSIN_ET_CapUSV_0,flat_no_clear_effect,see_pdp_curve,98,4/5,4/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_Rc_OG142_GN,flat_no_clear_effect,see_pdp_curve,99,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_R414,flat_no_clear_effect,see_pdp_curve,100,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MaskSetName_MS_D,flat_no_clear_effect,see_pdp_curve,101,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RD_Vg_Vbon_min,flat_no_clear_effect,see_pdp_curve,102,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SEC_Vgs_0p1V,flat_no_clear_effect,see_pdp_curve,103,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
FIC_ET_R_f_tn_2,flat_no_clear_effect,see_pdp_curve,104,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
FIC_ET_DC_PIV_Drain_Lag_1,flat_no_clear_effect,see_pdp_curve,105,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_C385pf,flat_no_clear_effect,see_pdp_curve,106,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_Vbkdn_Cap100_Long,flat_no_clear_effect,see_pdp_curve,107,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
FIN_FIN_Alignment_FIN_to_ohmic_alignment,flat_no_clear_effect,see_pdp_curve,108,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_PIV_Ids0_QP1,flat_no_clear_effect,see_pdp_curve,109,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SMALL_Vbgs_0p01,flat_no_clear_effect,see_pdp_curve,110,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_CF_S11_Ph_L1002,flat_no_clear_effect,see_pdp_curve,111,4/5,4/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_Vboff,flat_no_clear_effect,see_pdp_curve,112,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_Load_Pull_Gss,flat_no_clear_effect,see_pdp_curve,113,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,flat_no_clear_effect,see_pdp_curve,114,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_S11ang_26GHz,flat_no_clear_effect,see_pdp_curve,115,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_C_CAT_2,flat_no_clear_effect,see_pdp_curve,116,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_RF_Modeling_Mag_d,flat_no_clear_effect,see_pdp_curve,117,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,flat_no_clear_effect,see_pdp_curve,118,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
ANODE_ET_Probe_Number,flat_no_clear_effect,see_pdp_curve,119,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
FIC_ET_DC_RF_Vg_max_Vd,flat_no_clear_effect,see_pdp_curve,120,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_S11dB_10GHz,flat_no_clear_effect,see_pdp_curve,121,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_Max_S11_Ph_L1018,flat_no_clear_effect,see_pdp_curve,122,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
SIN_GATE_ET_sh_GA144,flat_no_clear_effect,see_pdp_curve,123,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
THIN_ET_R_4000_HOR,flat_no_clear_effect,see_pdp_curve,124,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
THIN_ET_Rc_an_ct2_OW_CR,flat_no_clear_effect,see_pdp_curve,125,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_LT_SEC_Id_min_mA_mm,flat_no_clear_effect,see_pdp_curve,126,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
THIN_ET_DC_RF_Vg_optt1,flat_no_clear_effect,see_pdp_curve,127,4/5,4/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
FIC_ET_DC_RF_Vbgs_0p1,flat_no_clear_effect,see_pdp_curve,128,3/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RD_K,flat_no_clear_effect,see_pdp_curve,129,4/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
TOPSIN_ET_DC_SMALL_Vbgs1,flat_no_clear_effect,see_pdp_curve,130,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
THIN_ET_sh_f_hr_23,flat_no_clear_effect,see_pdp_curve,131,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_RF_Modeling_S22ang_10GHz,flat_no_clear_effect,see_pdp_curve,132,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
TOPSIN_ET_C175pf,flat_no_clear_effect,see_pdp_curve,133,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
SIN_GATE_ET_RGAN2,flat_no_clear_effect,see_pdp_curve,134,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,flat_no_clear_effect,see_pdp_curve,135,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SEC_Id_gm_max,flat_no_clear_effect,see_pdp_curve,136,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
TOPSIN_ET_C100CapPARCAP,flat_no_clear_effect,see_pdp_curve,137,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,flat_no_clear_effect,see_pdp_curve,138,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_RF_Modeling_Ls,flat_no_clear_effect,see_pdp_curve,139,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
TFRP_ET_Rc_TF_AB_2,flat_no_clear_effect,see_pdp_curve,140,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
TOPSIN_ET_R_f_hr_2,flat_no_clear_effect,see_pdp_curve,141,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SEC_X_Vboff_Id,flat_no_clear_effect,see_pdp_curve,142,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,flat_no_clear_effect,see_pdp_curve,143,4/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_R_f_tn_1,flat_no_clear_effect,see_pdp_curve,144,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_Vg_Vbon_min,flat_no_clear_effect,see_pdp_curve,145,4/5,4/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
TOPSIN_ET_DC_RF_Vt_gd,flat_no_clear_effect,see_pdp_curve,146,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF2_S11dB_26GHz,flat_no_clear_effect,see_pdp_curve,147,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_RF_Modeling_Fmax,flat_no_clear_effect,see_pdp_curve,148,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_Vt_gd,flat_no_clear_effect,see_pdp_curve,149,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SMALL_Vdg_max_0p1,flat_no_clear_effect,see_pdp_curve,150,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_pos_SD3p5,flat_no_clear_effect,see_pdp_curve,152,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
THIN_ET_DC_RF_Vbgs_0p01,flat_no_clear_effect,see_pdp_curve,154,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_C20_0,flat_no_clear_effect,see_pdp_curve,157,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
MEASURE_ET_DC_RF_S11dB_26GHz,flat_no_clear_effect,see_pdp_curve,160,5/5,5/5,INCONCLUSIVE,Main model shows no clear PDP effect (range below flat threshold).
