parameter_A,module_A,parameter_B,module_B,shared_suffix,stage_relationship_pattern,direction_higher_A_minus_B,effect_range_yield_pct,shape_fold_consistency,direction_fold_consistency,evidence_label,reason
THIN_ET_DC_RF_Vp_01,THIN,TOPSIN_ET_DC_RF_Vp_01,TOPSIN,DC_RF_Vp_01,threshold,n/a,0.6659,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_TR_1F,FIC,TOPSIN_ET_TR_1F,TOPSIN,TR_1F,threshold,n/a,0.7323,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Vg_optt,FIC,TOPSIN_ET_DC_RF_Vg_optt,TOPSIN,DC_RF_Vg_optt,threshold,n/a,0.6603,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
SIN_ET_DC_RF_Vds_max,SIN,THIN_ET_DC_RF_Vds_max,THIN,DC_RF_Vds_max,threshold,n/a,1.1562,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
THIN_ET_DC_RF_Vg_gm_max,THIN,TOPSIN_ET_DC_RF_Vg_gm_max,TOPSIN,DC_RF_Vg_gm_max,threshold,n/a,0.9417,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Vdg_max,FIC,TOPSIN_ET_DC_RF_Vdg_max,TOPSIN,DC_RF_Vdg_max,threshold,n/a,0.6325,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_Rc_OG142,FIC,OHMIC_ET_Rc_OG142,OHMIC,Rc_OG142,threshold,n/a,1.0907,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Vbgd_0p1,FIC,SIN_ET_DC_RF_Vbgd_0p1,SIN,DC_RF_Vbgd_0p1,threshold,n/a,0.9275,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_DC_RF_Vbgd_0p1,FIC,THIN_ET_DC_RF_Vbgd_0p1,THIN,DC_RF_Vbgd_0p1,threshold,n/a,0.6262,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
THIN_ET_DC_RF_Vbgd1,THIN,TOPSIN_ET_DC_RF_Vbgd1,TOPSIN,DC_RF_Vbgd1,threshold,n/a,1.1491,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
THIN_ET_R_f_tn_1,THIN,TOPSIN_ET_R_f_tn_1,TOPSIN,R_f_tn_1,threshold,negative,1.1,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_lkg_5,FIC,OHMIC_ET_lkg_5,OHMIC,lkg_5,threshold,n/a,0.9025,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
OHMIC_ET_lkg_5,OHMIC,THIN_ET_lkg_5,THIN,lkg_5,threshold,n/a,1.0045,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
THIN_ET_lkg_5,THIN,TOPSIN_ET_lkg_5,TOPSIN,lkg_5,threshold,n/a,1.4805,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_OHMC,FIC,OHMIC_ET_OHMC,OHMIC,OHMC,threshold,n/a,1.1495,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_OHMC,FIC,TOPSIN_ET_OHMC,TOPSIN,OHMC,threshold,n/a,0.7431,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_DC_RF_Vbin_gs,FIC,SIN_ET_DC_RF_Vbin_gs,SIN,DC_RF_Vbin_gs,threshold,negative,0.98,5/5,4/5,STRONG,"Shape consistent in 5/5 folds, direction in 4/5."
FIC_ET_DC_RF_Vbin_gd,FIC,SIN_ET_DC_RF_Vbin_gd,SIN,DC_RF_Vbin_gd,threshold,n/a,0.803,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_Gm_max,FIC,TOPSIN_ET_Gm_max,TOPSIN,Gm_max,threshold,negative,2.0358,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
OHMIC_ET_R114,OHMIC,TOPSIN_ET_R114,TOPSIN,R114,threshold,n/a,2.0156,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_DC_RF_Vbgs_0p01,FIC,SIN_ET_DC_RF_Vbgs_0p01,SIN,DC_RF_Vbgs_0p01,threshold,n/a,1.4681,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Vbgs_0p1,FIC,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN,DC_RF_Vbgs_0p1,threshold,n/a,1.1459,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_DC_RF_Vbgs1,FIC,THIN_ET_DC_RF_Vbgs1,THIN,DC_RF_Vbgs1,threshold,n/a,1.2215,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_sh_f_hr_23,FIC,THIN_ET_sh_f_hr_23,THIN,sh_f_hr_23,threshold,positive,0.6449,5/5,4/5,STRONG,"Shape consistent in 5/5 folds, direction in 4/5."
OHMIC_ET_R314,OHMIC,TOPSIN_ET_R314,TOPSIN,R314,threshold,n/a,0.9832,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Imax,FIC,THIN_ET_DC_RF_Imax,THIN,DC_RF_Imax,threshold,n/a,1.1099,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Gm_0,FIC,SIN_ET_DC_RF_Gm_0,SIN,DC_RF_Gm_0,threshold,n/a,0.6185,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_PIV_Drain_Lag_1,FIC,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN,DC_PIV_Drain_Lag_1,threshold,n/a,1.6613,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_DC_RF_Ids_m0p2,FIC,SIN_ET_DC_RF_Ids_m0p2,SIN,DC_RF_Ids_m0p2,threshold,negative,1.3857,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_DC_RF_Ids_m0p2,FIC,THIN_ET_DC_RF_Ids_m0p2,THIN,DC_RF_Ids_m0p2,threshold,negative,0.9133,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Idss,FIC,TOPSIN_ET_DC_RF_Idss,TOPSIN,DC_RF_Idss,threshold,n/a,1.1683,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
SIN_ET_DC_RF_Vt_gs,SIN,TOPSIN_ET_DC_RF_Vt_gs,TOPSIN,DC_RF_Vt_gs,threshold,n/a,0.8314,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FMESA_ET_Vbkd,FMESA,MESA_ET_Vbkd,MESA,Vbkd,threshold,negative,1.1457,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Vt_gd,FIC,TOPSIN_ET_DC_RF_Vt_gd,TOPSIN,DC_RF_Vt_gd,threshold,negative,0.7651,5/5,4/5,STRONG,"Shape consistent in 5/5 folds, direction in 4/5."
SIN_ET_DC_RF_Vt_gd,SIN,THIN_ET_DC_RF_Vt_gd,THIN,DC_RF_Vt_gd,threshold,n/a,1.2542,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_DC_RF_Gm_max,FIC,TOPSIN_ET_DC_RF_Gm_max,TOPSIN,DC_RF_Gm_max,threshold,n/a,1.1494,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
SIN_ET_DC_RF_Gm_max,SIN,TOPSIN_ET_DC_RF_Gm_max,TOPSIN,DC_RF_Gm_max,threshold,n/a,1.417,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
OHMIC_ET_Ran_con_1,OHMIC,THIN_ET_Ran_con_1,THIN,Ran_con_1,threshold,n/a,1.7948,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
THIN_ET_DC_RF_Id_gm_max,THIN,TOPSIN_ET_DC_RF_Id_gm_max,TOPSIN,DC_RF_Id_gm_max,threshold,n/a,0.5727,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
ANODE_ET_Rsh_an_ct2,ANODE,OHMIC_ET_Rsh_an_ct2,OHMIC,Rsh_an_ct2,threshold,n/a,0.8238,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
ANODE_ET_Ran_con_3_OW_CR,ANODE,THIN_ET_Ran_con_3_OW_CR,THIN,Ran_con_3_OW_CR,threshold,negative,0.9958,5/5,4/5,STRONG,"Shape consistent in 5/5 folds, direction in 4/5."
FIC_ET_Vg_gm_max,FIC,TOPSIN_ET_Vg_gm_max,TOPSIN,Vg_gm_max,threshold,n/a,0.8492,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_Vds_max,FIC,TOPSIN_ET_Vds_max,TOPSIN,Vds_max,threshold,n/a,0.9888,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Imax,FIC,TOPSIN_ET_DC_RF_Imax,TOPSIN,DC_RF_Imax,threshold,n/a,0.3787,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
OHMIC_ET_sh_GA142,OHMIC,THIN_ET_sh_GA142,THIN,sh_GA142,threshold,n/a,1.9524,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_DC_RF_Vds_max_0p1mA,FIC,SIN_ET_DC_RF_Vds_max_0p1mA,SIN,DC_RF_Vds_max_0p1mA,monotonic,positive,1.2773,0/5,5/5,MODERATE,"Shape consistent in 0/5 folds, direction in 5/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vds_max_0p1,FIC,TOPSIN_ET_DC_RF_Vds_max_0p1,TOPSIN,DC_RF_Vds_max_0p1,threshold,negative,0.8522,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous."
CATHODE_ET_C_CAT_2,CATHODE,THIN_ET_C_CAT_2,THIN,C_CAT_2,monotonic,positive,1.2474,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous."
SIN_ET_TR_1F,SIN,TOPSIN_ET_TR_1F,TOPSIN,TR_1F,threshold,negative,0.8074,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vdg_max_0p1,FIC,SIN_ET_DC_RF_Vdg_max_0p1,SIN,DC_RF_Vdg_max_0p1,threshold,n/a,0.782,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vdg_max,FIC,THIN_ET_DC_RF_Vdg_max,THIN,DC_RF_Vdg_max,threshold,negative,0.721,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
OHMIC_ET_R314,OHMIC,THIN_ET_R314,THIN,R314,threshold,positive,0.9521,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vbgs1,SIN,THIN_ET_DC_RF_Vbgs1,THIN,DC_RF_Vbgs1,threshold,positive,1.2488,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vbgd_0p01,SIN,TOPSIN_ET_DC_RF_Vbgd_0p01,TOPSIN,DC_RF_Vbgd_0p01,threshold,n/a,1.441,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_sh_f_hr_23,FIC,TOPSIN_ET_sh_f_hr_23,TOPSIN,sh_f_hr_23,threshold,negative,0.4289,5/5,3/5,MODERATE,"Shape consistent in 5/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_n_gd,FIC,SIN_ET_DC_RF_n_gd,SIN,DC_RF_n_gd,threshold,n/a,0.9394,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
THIN_ET_DC_RF_Imax,THIN,TOPSIN_ET_DC_RF_Imax,TOPSIN,DC_RF_Imax,threshold,negative,0.7557,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_R_f_hr_3,FIC,TOPSIN_ET_R_f_hr_3,TOPSIN,R_f_hr_3,threshold,positive,1.3961,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_R_f_tn_1,FIC,TOPSIN_ET_R_f_tn_1,TOPSIN,R_f_tn_1,monotonic,negative,1.1519,2/5,3/5,MODERATE,"Shape consistent in 2/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vds_max,FIC,SIN_ET_DC_RF_Vds_max,SIN,DC_RF_Vds_max,threshold,n/a,0.8863,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vdg_max_0p1mA,FIC,SIN_ET_DC_RF_Vdg_max_0p1mA,SIN,DC_RF_Vdg_max_0p1mA,monotonic,negative,1.0681,0/5,4/5,MODERATE,"Shape consistent in 0/5 folds, direction in 4/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vdg_max_0p1,SIN,TOPSIN_ET_DC_RF_Vdg_max_0p1,TOPSIN,DC_RF_Vdg_max_0p1,threshold,positive,0.5916,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
FIC_ET_Gm_m2,FIC,TOPSIN_ET_Gm_m2,TOPSIN,Gm_m2,threshold,negative,0.8658,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
CATHODE_ET_Rcat_cn_1_OW_ST,CATHODE,THIN_ET_Rcat_cn_1_OW_ST,THIN,Rcat_cn_1_OW_ST,threshold,negative,0.3935,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous."
CATHODE_ET_Rc_cat_ct2,CATHODE,THIN_ET_Rc_cat_ct2,THIN,Rc_cat_ct2,threshold,n/a,0.935,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
CATHODE_ET_Rsh_cat_c2,CATHODE,THIN_ET_Rsh_cat_c2,THIN,Rsh_cat_c2,threshold,n/a,0.7438,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_G_per_6K,FIC,TOPSIN_ET_G_per_6K,TOPSIN,G_per_6K,threshold,positive,0.5523,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vg_optt,FIC,SIN_ET_DC_RF_Vg_optt,SIN,DC_RF_Vg_optt,threshold,positive,0.5372,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vg_max_Vd,FIC,SIN_ET_DC_RF_Vg_max_Vd,SIN,DC_RF_Vg_max_Vd,monotonic,negative,1.319,1/5,5/5,MODERATE,"Shape consistent in 1/5 folds, direction in 5/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vg_gm_max,FIC,SIN_ET_DC_RF_Vg_gm_max,SIN,DC_RF_Vg_gm_max,threshold,negative,0.8091,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous."
FIC_ET_R_f_hr_1,FIC,TOPSIN_ET_R_f_hr_1,TOPSIN,R_f_hr_1,threshold,n/a,0.7243,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
THIN_ET_R_f_hr_3,THIN,TOPSIN_ET_R_f_hr_3,TOPSIN,R_f_hr_3,threshold,positive,1.5303,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
FIC_ET_HIRS,FIC,THIN_ET_HIRS,THIN,HIRS,threshold,positive,0.4161,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
FIC_ET_R_f_hr_2,FIC,TOPSIN_ET_R_f_hr_2,TOPSIN,R_f_hr_2,threshold,positive,1.2319,3/5,4/5,MODERATE,"Shape consistent in 3/5 folds, direction in 4/5 -- majority but not unanimous."
FIC_ET_R_f_hr_2,FIC,THIN_ET_R_f_hr_2,THIN,R_f_hr_2,threshold,n/a,0.6058,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
THIN_ET_R_f_hr_2,THIN,TOPSIN_ET_R_f_hr_2,TOPSIN,R_f_hr_2,threshold,positive,1.4439,3/5,4/5,MODERATE,"Shape consistent in 3/5 folds, direction in 4/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vbin_gs,SIN,THIN_ET_DC_RF_Vbin_gs,THIN,DC_RF_Vbin_gs,monotonic,positive,1.5193,1/5,5/5,MODERATE,"Shape consistent in 1/5 folds, direction in 5/5 -- majority but not unanimous."
FIC_ET_HIRS,FIC,TOPSIN_ET_HIRS,TOPSIN,HIRS,threshold,positive,0.8708,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vbgs1,SIN,TOPSIN_ET_DC_RF_Vbgs1,TOPSIN,DC_RF_Vbgs1,threshold,n/a,0.8783,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
THIN_ET_DC_RF_Vbgs1,THIN,TOPSIN_ET_DC_RF_Vbgs1,TOPSIN,DC_RF_Vbgs1,threshold,negative,1.2982,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vbin_gd,FIC,THIN_ET_DC_RF_Vbin_gd,THIN,DC_RF_Vbin_gd,threshold,n/a,0.6298,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vbin_gd,FIC,TOPSIN_ET_DC_RF_Vbin_gd,TOPSIN,DC_RF_Vbin_gd,threshold,negative,1.2434,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vbin_gs,FIC,TOPSIN_ET_DC_RF_Vbin_gs,TOPSIN,DC_RF_Vbin_gs,threshold,negative,0.4631,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
FIC_ET_DC_RF_n_gd,FIC,THIN_ET_DC_RF_n_gd,THIN,DC_RF_n_gd,threshold,positive,0.6014,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
THIN_ET_DC_RF_Vbgd_0p01,THIN,TOPSIN_ET_DC_RF_Vbgd_0p01,TOPSIN,DC_RF_Vbgd_0p01,threshold,n/a,1.4012,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
THIN_ET_DC_RF_Vbgs_0p1,THIN,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN,DC_RF_Vbgs_0p1,threshold,n/a,1.09,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_R_f_tn_2,FIC,THIN_ET_R_f_tn_2,THIN,R_f_tn_2,monotonic,positive,0.8718,0/5,5/5,MODERATE,"Shape consistent in 0/5 folds, direction in 5/5 -- majority but not unanimous."
FIC_ET_R314,FIC,OHMIC_ET_R314,OHMIC,R314,threshold,n/a,0.9852,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_R314,FIC,THIN_ET_R314,THIN,R314,threshold,negative,0.5537,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
FIC_ET_R_f_tn_3,FIC,THIN_ET_R_f_tn_3,THIN,R_f_tn_3,threshold,n/a,0.6937,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
THIN_ET_R_f_tn_2,THIN,TOPSIN_ET_R_f_tn_2,TOPSIN,R_f_tn_2,threshold,negative,0.5516,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
OHMIC_ET_OHMC,OHMIC,TOPSIN_ET_OHMC,TOPSIN,OHMC,threshold,n/a,0.7696,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_R_f_hr_1,FIC,THIN_ET_R_f_hr_1,THIN,R_f_hr_1,threshold,negative,0.7756,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vbgd_0p01,FIC,SIN_ET_DC_RF_Vbgd_0p01,SIN,DC_RF_Vbgd_0p01,threshold,n/a,1.8877,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
THIN_ET_TANR,THIN,TOPSIN_ET_TANR,TOPSIN,TANR,threshold,positive,1.045,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vg_gm_max,SIN,TOPSIN_ET_DC_RF_Vg_gm_max,TOPSIN,DC_RF_Vg_gm_max,threshold,negative,0.3733,4/5,0/5,MODERATE,"Shape consistent in 4/5 folds, direction in 0/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vg_optt1,FIC,SIN_ET_DC_RF_Vg_optt1,SIN,DC_RF_Vg_optt1,threshold,negative,0.8621,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vg_optt,SIN,TOPSIN_ET_DC_RF_Vg_optt,TOPSIN,DC_RF_Vg_optt,threshold,n/a,1.099,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
BRGM_ET_Rsh_F_AB_2,BRGM,THIN_ET_Rsh_F_AB_2,THIN,Rsh_F_AB_2,complex_nonmonotonic,n/a,1.3357,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vds_max,FIC,THIN_ET_DC_RF_Vds_max,THIN,DC_RF_Vds_max,threshold,negative,0.7668,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
CATHODE_ET_C_CAT_2_OW_ST,CATHODE,THIN_ET_C_CAT_2_OW_ST,THIN,C_CAT_2_OW_ST,monotonic,positive,1.0728,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vboff,SIN,TOPSIN_ET_DC_RF_Vboff,TOPSIN,DC_RF_Vboff,threshold,negative,0.4965,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vp_1,FIC,TOPSIN_ET_DC_RF_Vp_1,TOPSIN,DC_RF_Vp_1,threshold,n/a,1.0,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
ANODE_ET_Ran_con_1,ANODE,OHMIC_ET_Ran_con_1,OHMIC,Ran_con_1,monotonic,negative,1.1425,0/5,5/5,MODERATE,"Shape consistent in 0/5 folds, direction in 5/5 -- majority but not unanimous."
BRGM_ET_i5021_3,BRGM,THIN_ET_i5021_3,THIN,i5021_3,threshold,n/a,1.4323,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vp_01,FIC,SIN_ET_DC_RF_Vp_01,SIN,DC_RF_Vp_01,threshold,positive,0.5718,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
