column_name,original_csv_column,category,stage2_eligible,reason,leakage_risk,process_or_ET_parameter,notes
BRGM_ET_ABVIETCH,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_C100,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_C200,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_C200_0,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_C300,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_C300_0,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_Cap_C300,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_F_AB,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_i5021_1,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_i5021_2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_i5021_3,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_KLV_F_AB_4u,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_KLV_F_M1_4u,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_lkg_C200,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_lkg_C300,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_lkg_SY07_10,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_lkg_SY8_80,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_Probe_Number,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_Rc_F_AB_2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_Rsh_F_AB_2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
BRGM_ET_TR_1F,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_C_CAT_2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_C_CAT_2_OW_ST,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Probe_Number,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rc_cat_ct2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rc_cat_ct2_OW_ST,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rcat_cn_1,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rcat_cn_1_OW_ST,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rcat_cn_2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rcat_cn_2_OW_ST,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rcat_cn_3,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rcat_cn_3_OW_ST,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rsh_cat_c2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
CATHODE_ET_Rsh_cat_c2_OW_ST,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_Bad_Gates,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_C100S1,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_C200_0S1,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_C200S1,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_FC_lin_4,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_G_per_15,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_G_per_25,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_G_per_2p75K,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_G_per_6K,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_G2_per_6K,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_Gate_res,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_Gm_m2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_Gm_max,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_GT_lin25,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_HIRS,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_Id_mAmm_at_Vd_cond,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_Ids_m2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_Ig_mAmm_at_Vd_cond,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_lkg_5,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_lkg_SY07_10,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_lkg_SY8_80,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_OHMC,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_Probe_Number,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
FIC_ET_R_f_hr_1,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
