parameter_A,parameter_B,evidence_label,interaction_incremental_r2,fold_reproducibility,quality_score,evidence_tier_A,evidence_tier_B,admission_rule
TOPSIN_ET_DC_RF_Vbgd1,MEASURE_ET_DC_RF_K_W,STRONG,0.0484,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
ANODE_ET_Ran_con_1,TOPSIN_ET_lkg_SY07_10,STRONG,0.0712,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
TOPSIN_ET_Gm_m2,CATHODE_ET_Rcat_cn_2,STRONG,0.1533,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_SY8_80,MEASURE_ET_RF_Modeling_Mag_d,STRONG,0.0494,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_C300,MEASURE_ET_C100C175pf,STRONG,0.0494,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_Probe_Number,MEASURE_ET_C20_0,STRONG,0.0474,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_C100CapFICM1,FIC_ET_R_f_tn_1,STRONG,0.0166,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
SIN_ET_lkg_SY07_10,MEASURE_ET_lkg_50_at20V,STRONG,0.1366,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_RF_Max_S11_Ph_L2180,MEASURE_ET_C300FB_0,STRONG,0.1583,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_DC_RF_Vp_01,TOPSIN_ET_lkg_C450pf,STRONG,0.1737,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_lkg_SY07_10,TOPSIN_ET_lkg_C300pf,STRONG,0.1475,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vbin_gs,STRONG,0.1505,5/5,6.5,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,THIN_ET_Ran_con_2,STRONG,0.1579,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,TOPSIN_ET_lkg_CapFICM1,STRONG,0.1471,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_lkg_100_at20V,MEASURE_ET_lkg_50,STRONG,0.1693,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_RF_Gm_m0p2_W,MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,STRONG,0.0222,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_DC_RF_Gm_max,ANODE_ET_Probe_Number,STRONG,0.0233,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_RF_Modeling_S22ang_10GHz,MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,STRONG,0.0229,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_Rc_OG144,MEASURE_ET_C385pf,STRONG,0.0498,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_lkg_50,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,STRONG,0.1417,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_C200_0,THIN_ET_Rc_OG142,STRONG,0.1544,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
SIN_GATE_ET_lkg_SY8_80,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,STRONG,0.1553,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vp_01,MEASURE_ET_Load_Pull_Gss,STRONG,0.1534,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
SIN_ET_DC_RF_Vbin_gd,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.1538,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_100_at20V,FIC_ET_R_f_hr_2,STRONG,0.016,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Gm_max,MEASURE_ET_lkg_50_at20V,STRONG,0.2021,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_lkg_10,MEASURE_ET_lkg_CapPARCAP,STRONG,0.162,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
SIN_ET_DC_RF_Vg_max_Vd_0p1,TOPSIN_ET_lkg_CapFICM1,STRONG,0.0474,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
SIN_ET_DC_RF_Vbgs_0p01,MEASURE_ET_DC_SMALL_Vbgs_0p01,STRONG,0.1655,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_lkg_5,THIN_ET_DC_RF_Vg_optt1,STRONG,0.1397,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_SEC_Vgs_0p1V,THIN_ET_lkg_C200,STRONG,0.0489,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_RF_S11ang_10GHz,MEASURE_ET_DC_SMALL_Ids_m0p2,STRONG,0.1415,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Cap_C300,MaskSetSupplyChipsCount,STRONG,0.1552,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_Rc_f_hr_23,TOPSIN_ET_DC_RF_Vg_max_Vd,STRONG,0.0494,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_USV_Cappf_0,MEASURE_ET_HIRS,STRONG,0.0225,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_Rc_cat_ct2,THIN_ET_Ran_con_2_OW_CR,STRONG,0.0503,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_Rsh_an_ct2,MEASURE_ET_LT_SEC_Id_min_mA_mm,STRONG,0.0175,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_C20_0,TOPSIN_ET_CapFICM1,STRONG,0.1571,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_C450pf,SIN_GATE_ET_lkg_5,STRONG,0.1545,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_DC_RF_Vp_01,TOPSIN_ET_DC_RF_Vt_gd,STRONG,0.0236,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_DC_RF_Vbgs1,OHMIC_ET_Rsh_an_ct2,STRONG,0.0207,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_C100,MEASURE_ET_DC_PIV_Ids0_QP1,STRONG,0.0497,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_CapPARCAP_0,MEASURE_ET_USV_Cappf,STRONG,0.139,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Bin,MEASURE_ET_lkg_50_at20V,STRONG,0.1662,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_sh_GA144,STRONG,0.1572,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vds_max,TOPSIN_ET_CapFICM1,STRONG,0.1429,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,THIN_ET_lkg_PAD_10,STRONG,0.161,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_PAD_10,MEASURE_ET_DC_RF_Min_S21_Freq_L1018,STRONG,0.0482,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_PIV_Ids0_QP1,MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,STRONG,0.0477,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_sh_f_tn_23,FIC_ET_Rc_OG142,STRONG,0.1397,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_Rc_OG144,MEASURE_ET_DC_RF2_S22ang_26GHz,STRONG,0.0483,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_C100Cap2pf,MEASURE_ET_Cap2pf,STRONG,0.0486,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_Gm_max,SIN_GATE_ET_lkg_5,STRONG,0.1602,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_Big_Vg_optt2,TOPSIN_ET_lkg_CapFICM1,STRONG,0.1626,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_C100CapFICM1,SIN_ET_lkg_SY07_10,STRONG,0.17,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_Rcat_cn_3,STRONG,0.166,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_Vp_1,MEASURE_ET_DC_RF2_S21ang_26GHz,STRONG,0.0487,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_Gm_max,TOPSIN_ET_DC_RF_Vbgs1,STRONG,0.152,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_RF_Modeling_Mag_d,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,STRONG,0.1548,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_VIA_KLV,TOPSIN_ET_lkg_Cap_USV,STRONG,0.024,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_C200,MEASURE_ET_Rcat_cn_1,STRONG,0.1414,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
TOPSIN_ET_lkg_Cap_USV,MEASURE_ET_lkg_PAD_10,STRONG,0.1684,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_DC_PIV_Ids0_QP3,STRONG,0.0476,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_DC_RF_Vp_01,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.1618,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_Cap3pf_0,MEASURE_ET_DC_SMALL_Vg_max_Vd,STRONG,0.1726,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
OHMIC_ET_sh_GA142,BRGM_ET_KLV_F_AB_4u,STRONG,0.0152,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_Rc_an_ct2,MEASURE_ET_lkg_5,STRONG,0.1357,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_Rsh_cat_c2,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,STRONG,0.0491,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_Diode_Rs_9p5,MEASURE_ET_DC_RF2_S22ang_26GHz,STRONG,0.1286,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
MEASURE_ET_C100USV_Cappf,MEASURE_ET_lkg_CapPARCAP,STRONG,0.1563,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_DC_RF_n_gs,THIN_ET_DC_RF_Vg_max_Vd_0p1mA,STRONG,0.048,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_C300M1B_0,SIN_ET_lkg_SY07_10,STRONG,0.14,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_lkg_SY8_80,MaskSetSupplyChipsCount,STRONG,0.1573,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Gm_max,TOPSIN_ET_Vg_gm_max,STRONG,0.076,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_DC_PIV_Ids0_QP3,STRONG,0.1722,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_Vbpin,TOPSIN_ET_C100Cap2pf,STRONG,0.1519,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
SIN_ET_TR_1F,MEASURE_ET_DC_RF_Id_Vbon_min,STRONG,0.014,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_Gm_max,THIN_ET_lkg_C200,STRONG,0.1257,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
THIN_ET_Ran_con_2,MEASURE_ET_RF_Modeling_Fmax,STRONG,0.1663,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_Vds_max,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.0479,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_DC_RF_Vg_max_Vd,MEASURE_ET_DC_SEC_X_Bin,STRONG,0.1639,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
SIN_GATE_ET_RGAN2,MEASURE_ET_DC_SEC_X_Bin,STRONG,0.0211,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
BRIDGE_METAL_Height_Final_TOP_metal_thickness,TOPSIN_ET_C300,STRONG,0.049,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_lkg_USV_Cap,MEASURE_ET_DC_SEC_X_Bin,STRONG,0.1504,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_C300,OHMIC_ET_sh_GA142,STRONG,0.0157,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_C100CapPARCAP,MEASURE_ET_RF_Modeling_Gm,STRONG,0.0503,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_DC_RF_Vp_1,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,STRONG,0.0477,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_USV_Cappf,TOPSIN_ET_C100Cap1pf,STRONG,0.1377,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_RF2_S22ang_26GHz,MEASURE_ET_DC_RF_S22dB_26GHz_W,STRONG,0.0501,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_ABVIETCH,TOPSIN_ET_DC_RF_n_gs,STRONG,0.0494,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_Rcat_cn_1,OHMIC_ET_Ran_con_1,STRONG,0.0242,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_RF_Modeling_S22ang_10GHz,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,STRONG,0.0489,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_Gm_m2,SIN_ET_DC_RF_Vbgd_0p1,STRONG,0.1004,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
THIN_ET_DC_RF_Vg_optt2,MEASURE_ET_lkg_C385pf,STRONG,0.0209,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_USV_Cap,MEASURE_ET_DC_RF_Id_Vbon_min,STRONG,0.0478,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,TOPSIN_ET_lkg_C300pf,STRONG,0.1439,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_CapPARCAP,MEASURE_ET_DC_SEC_Vbin_gs,STRONG,0.0487,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_Cap2pf,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.0479,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vbgs1,SIN_ET_DC_RF_Idss,STRONG,0.1435,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_lkg_Cap1,MEASURE_ET_DC_SEC_X_Bin,STRONG,0.1657,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_DC_RF_Vg_optt2,MEASURE_ET_DC_RF_S11dB_10GHz,STRONG,0.0151,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_lkg_PAD_10,TOPSIN_ET_lkg_C450pf,STRONG,0.2105,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_RF_Gm_m0p2_W,MaskSetSupplyChipsCount,STRONG,0.1481,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_lkg_PAD_10,SIN_ET_lkg_SY8_80,STRONG,0.1426,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,THIN_ET_Rc_TF_AB_2,STRONG,0.1573,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,STRONG,0.1964,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_Cap3pf_0,THIN_ET_Rcat_cn_1_OW_ST,STRONG,0.1517,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
ANODE_ET_Ran_con_1,THIN_ET_lkg_5,STRONG,0.0876,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,OHMIC_ET_lkg_5,STRONG,0.1578,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
BRIDGE_METAL_Height_Final_TOP_metal_thickness,MEASURE_ET_Cap2pf,STRONG,0.0493,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_LT_SEC_Vg_Id_min,STRONG,0.1162,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
OHMIC_ET_lkg_5,THIN_ET_Ran_con_2_OW_CR,STRONG,0.0489,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_DC_RF_Id_gm_max,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.0474,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
OHMIC_ET_sh_GA142,THIN_ET_Rcat_cn_3,STRONG,0.0222,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_HIRS,TOPSIN_ET_Cap3pf,STRONG,0.0224,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_DC_SEC_Vp_1mA,SIN_ET_lkg_SY8_80,STRONG,0.1386,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_R414,STRONG,0.1494,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_C100Cap1pf,MEASURE_ET_C20_0,STRONG,0.1709,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
