parameter_A,parameter_B,channels,n_channels,source,evidence_tier_A,evidence_tier_B
THIN_ET_Cap_C300,FIC_ET_DC_PIV_Gate_Lag_1,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rc_f_tn_23,TOPSIN_ET_DC_PIV_Gate_Lag_1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_lkg_C300,MEASURE_ET_RF_Modeling_S11dB_10GHz,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_AN_2_OW_CR,MEASURE_ET_lkg_C300M1B,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Cap_C300,SIN_ET_DC_RF_Vg_optt3,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_C100S1,TOPSIN_ET_lkg_C300,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_SY07_10,SIN_ET_DC_RF_Vds_max_0p1mA,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rcat_cn_3_OW_ST,TOPSIN_ET_Cap2pf_0,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
SIN_Thickness_SiN_Thickness,FIC_ET_DC_PIV_Gate_Lag_1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_C300M1B,FIC_ET_DC_PIV_Gate_Lag_1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_first,TOPSIN_ET_lkg_C300,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Rcat_cn_2_OW_ST,TOPSIN_ET_DC_RF_Vbin_gd,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_Cap2,MEASURE_ET_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_SY07_10,MEASURE_ET_DC_SEC_Vgs_back_0p5V,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Cap_C300FM1,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_Cap2,MEASURE_ET_DC_RF_S22ang_10GHz,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
SIN_ET_DC_RF_Vg_optt2,TOPSIN_ET_lkg_C175pf,M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_R214,MEASURE_ET_DC_Big_S11ang_10GHz,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_lkg_C300,MEASURE_ET_Cap_C300FM1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_Id_gm_max,MEASURE_ET_lkg_Cap2,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_SY07_10,THIN_ET_C_AN_2_OW_CR,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_C300_0,MEASURE_ET_lkg_Cap2,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_Cap2pf_0,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C200,SIN_ET_DC_RF_Vg_optt3,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
SIN_Thickness_SiN_Thickness,MEASURE_ET_lkg_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_C100S1,MEASURE_ET_lkg_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_DC_RF_Gm_0,MEASURE_ET_lkg_SY07_10,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C300M1B,SIN_ET_DC_RF_Vg_optt3,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rc_F_AB_2,TOPSIN_ET_DC_PIV_Gate_Lag_1,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RD_S11ang_18GHz,MEASURE_ET_DC_SEC_Vboff_2_1,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C20,MEASURE_ET_DC_SEC_Id_gm_max,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_C100C500pf,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_Rc_f_hr_23,MEASURE_ET_C100C500pf,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Rc_cat_ct2,FIC_ET_DC_PIV_Gate_Lag_1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Cap_C300,MEASURE_ET_lkg_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg_SD3p5,THIN_ET_C200,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C175pf,SIN_ET_DC_RF_Vds_max_0p1mA,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_Cap2,TOPSIN_ET_DC_RF_Id_gm_max,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_FPSD3p2,MEASURE_ET_lkg_C300FB,M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
SIN_ET_DC_RF_Vg_optt3,MEASURE_ET_RF_Modeling_S11dB_10GHz,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
CATHODE_ET_Rcat_cn_3,SIN_ET_DC_RF_Vg_optt3,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C175pf,MEASURE_ET_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_RF_Modeling_S11dB_10GHz,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg_SD3p5,FIC_ET_OHMC,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Gm_m0p2,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Rc_cat_ct2,TOPSIN_ET_DC_SMALL_Vbgs_0p1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rc_f_tn_23,MEASURE_ET_lkg_Cap2,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C300M1B,MEASURE_ET_RF_Modeling_S11dB_10GHz,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Cap20,MEASURE_ET_lkg_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C300FB,MEASURE_ET_CapFICM1_0,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_AN_2_OW_CR,MEASURE_ET_lkg_Cap2,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
SIN_ET_DC_PIV_Idss_QP1,MEASURE_ET_DC_Stress_Vg_gm_max_before,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_RF_Vp_1,TOPSIN_ET_lkg_C300,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_SY07_10,MEASURE_ET_Cap_C300FM1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
CATHODE_ET_Rcat_cn_3,MEASURE_ET_lkg_Cap2,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_Cap2,MEASURE_ET_DC_RF_Vp_1_W,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C200,FIC_ET_DC_PIV_Gate_Lag_1,M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_C100Cap3pf,MEASURE_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_Stress_Vg_gm_max_before,TOPSIN_ET_lkg_C300,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rcat_cn_3_OW_ST,TOPSIN_ET_DC_RF_Vbgs_0p01,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C175pf,THIN_ET_Cap_C300,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Cap1pf_0,FIC_ET_DC_PIV_Gate_Lag_1,M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Rc_cat_ct2,MEASURE_ET_lkg_SY8_80,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
SIN_ET_DC_PIV_Idss_QP1,MEASURE_ET_lkg_SY07_10,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_SY07_10,MEASURE_ET_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C300FB,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C300FB,MEASURE_ET_C300_0,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos,FIC_ET_DC_PIV_Gate_Lag_1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SMALL_Vp_01,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_Id_gm_max,MEASURE_ET_lkg_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_DC_RF_Gm_0,MEASURE_ET_lkg_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_C300M1B,MEASURE_ET_lkg_C300M1B,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C200,CATHODE_ET_Rcat_cn_1_OW_ST,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
SIN_ET_DC_PIV_Imax_QP2,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_AN_2_OW_CR,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Gm_m0p2,TOPSIN_ET_lkg_C300,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C300FB,TOPSIN_ET_lkg_C300,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C300M1B,MEASURE_ET_DC_RF_S22ang_10GHz,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C300FB,MEASURE_ET_DC_RF_Vp_1_W,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,4,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
