raw_csv_parameter_name,spline_evidence_label,spline_relationship_class,spline_nonlinear_advantage,v2_univariate_evidence_label,v2_univariate_shape,shap_percentile,gain_percentile,permutation_percentile,method_agreement,v3_broadscreen_best_rank,v3_confirmed_strong_count,v3_confirmed_moderate_count,v3_confirmed_best_incremental_r2,v3_tree_path_cooccurrence,cross_stage_best_evidence_label,n_independent_methods_supporting,is_marginal_evidence,is_nonlinear_evidence,is_conditional_evidence,is_interaction_related_evidence,is_cross_stage_evidence,evidence_tier
MEASURE_ET_Vbkdn_CapBig,STRONG,COMPLEX_NONLINEAR,False,WEAK,complex_nonmonotonic,59.65,50.88,52.84,high_agreement,247.0,0,0,,False,no_evidence,2,True,True,False,True,False,MEDIUM_EVIDENCE
MEASURE_ET_Vbpin,STRONG,THRESHOLD,False,MODERATE,complex_nonmonotonic,93.75,96.56,95.16,high_agreement,,0,0,,False,no_evidence,4,True,True,False,False,False,HIGH_EVIDENCE
MEASURE_ET_Vbpin_D60,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,14.32,15.16,41.33,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_Vg_gm_max,STRONG,COMPLEX_NONLINEAR,False,WEAK,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_VIA_KLV,STRONG,SATURATION,False,MODERATE,complex_nonmonotonic,98.11,98.18,98.11,high_agreement,,1,0,0.0674,False,no_evidence,5,True,True,True,True,False,HIGH_EVIDENCE
MEASURE_ET_VIA_KLV_2,MODERATE,THRESHOLD,False,WEAK,complex_nonmonotonic,24.77,40.63,54.11,moderate_agreement,67.0,0,0,,False,no_evidence,2,True,True,False,True,False,MEDIUM_EVIDENCE
MEASURE_ET_VIA_KLV_8p5,MODERATE,THRESHOLD,False,WEAK,complex_nonmonotonic,55.16,53.26,59.65,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_Vk,STRONG,SATURATION,False,WEAK,complex_nonmonotonic,42.04,48.07,40.07,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_Vp_1,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_Ft,INCONCLUSIVE,FLAT,False,STRONG,threshold,47.37,39.72,42.18,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_Gm_0,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_Gm_m0p2,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,42.32,55.09,58.11,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_Gm_max,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_Id_gm_max,WEAK,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,16.63,25.33,31.58,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Big_Ids_m0p2,WEAK,THRESHOLD,False,WEAK,threshold,24.63,25.61,38.39,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Big_Idss,STRONG,COMPLEX_NONLINEAR,True,STRONG,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_Imax,STRONG,COMPLEX_NONLINEAR,True,STRONG,complex_nonmonotonic,13.12,10.46,14.6,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_K,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,complex_nonmonotonic,35.65,38.39,15.23,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Big_MAG_10GHz,STRONG,COMPLEX_NONLINEAR,False,INCONCLUSIVE,complex_nonmonotonic,88.21,91.93,84.84,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_MAG_18GHz,WEAK,U_SHAPED,False,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Big_S11ang_10GHz,STRONG,SATURATION,True,WEAK,complex_nonmonotonic,11.02,12.07,15.79,high_agreement,104.0,0,0,,False,no_evidence,2,True,True,False,True,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_S11dB_10GHz,WEAK,SATURATION,False,WEAK,complex_nonmonotonic,85.82,92.49,73.33,moderate_agreement,137.0,0,0,,False,no_evidence,1,False,True,False,True,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_S12ang_10GHz,WEAK,COMPLEX_NONLINEAR,True,STRONG,complex_nonmonotonic,87.09,81.96,85.82,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_S12dB_10GHz,MODERATE,COMPLEX_NONLINEAR,True,WEAK,inverted_U,99.51,99.58,99.44,high_agreement,,5,0,0.1102,True,no_evidence,5,True,True,True,True,False,HIGH_EVIDENCE
MEASURE_ET_DC_Big_S21ang_10GHz,STRONG,COMPLEX_NONLINEAR,True,WEAK,complex_nonmonotonic,73.05,69.4,79.58,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_S21dB_10GHz,WEAK,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,32.42,38.04,32.28,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Big_S22ang_10GHz,MODERATE,THRESHOLD,False,MODERATE,complex_nonmonotonic,80.49,80.07,80.63,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_S22dB_10GHz,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,34.11,47.23,1.96,low_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_Vdg_max,STRONG,COMPLEX_NONLINEAR,True,MODERATE,threshold,24.28,26.81,36.56,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_Vdg_max_0p1mA,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,complex_nonmonotonic,41.75,39.79,57.33,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Big_Vds_max,STRONG,THRESHOLD,False,STRONG,threshold,34.6,33.89,54.67,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_Vds_max_0p1mA,WEAK,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,10.46,12.7,18.53,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Big_Vg_gm_max,WEAK,U_SHAPED,False,INCONCLUSIVE,U_shape,32.49,49.33,54.6,moderate_agreement,290.0,0,0,,False,no_evidence,1,False,True,False,True,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_Vg_max_Vd,STRONG,SATURATION,False,WEAK,complex_nonmonotonic,88.7,86.39,90.32,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,79.51,77.75,79.09,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_Vg_optt1,STRONG,THRESHOLD,False,MODERATE,monotonic,69.33,65.19,71.44,high_agreement,,0,0,,False,no_evidence,2,True,False,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_Vg_optt2,MODERATE,U_SHAPED,True,INCONCLUSIVE,complex_nonmonotonic,98.25,97.82,98.25,high_agreement,,0,0,,False,no_evidence,3,True,True,False,False,False,HIGH_EVIDENCE
MEASURE_ET_DC_Big_Vg_optt3,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,34.39,54.95,44.35,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Big_Vp_01,INCONCLUSIVE,FLAT,False,WEAK,complex_nonmonotonic,13.26,11.65,18.46,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Big_Vp_1,WEAK,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,15.65,16.28,31.65,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Diode_D_leak_65V,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,18.25,18.11,14.11,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Diode_Rs,INCONCLUSIVE,FLAT,False,WEAK,threshold,77.82,84.07,66.81,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Diode_Rs_9p5,STRONG,COMPLEX_NONLINEAR,True,WEAK,complex_nonmonotonic,97.12,92.98,96.63,high_agreement,,0,0,,False,no_evidence,3,True,True,False,False,False,HIGH_EVIDENCE
MEASURE_ET_DC_Diode_S11_dB_forw,INCONCLUSIVE,FLAT,False,STRONG,threshold,97.19,88.7,97.47,high_agreement,,0,0,,False,no_evidence,3,True,True,False,False,False,HIGH_EVIDENCE
MEASURE_ET_DC_Diode_S11_dB_forw_9p5,WEAK,COMPLEX_NONLINEAR,True,INCONCLUSIVE,inverted_U,78.67,78.46,73.61,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Diode_S11_dB_rev,STRONG,SATURATION,True,WEAK,complex_nonmonotonic,84.07,80.56,84.21,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,INCONCLUSIVE,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,55.58,68.49,67.44,moderate_agreement,161.0,0,0,,False,no_evidence,1,False,True,False,True,False,LOW_EVIDENCE
MEASURE_ET_DC_Diode_S21_dB_forw,WEAK,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,13.05,15.51,18.11,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Diode_S21_dB_forw_9p5,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,complex_nonmonotonic,86.39,87.02,85.12,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_Diode_S21_dB_rev,STRONG,INVERTED_U,False,MODERATE,threshold,81.96,86.67,86.32,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_Diode_S21_dB_rev_9p5,INCONCLUSIVE,FLAT,False,MODERATE,threshold,29.26,33.75,37.26,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_Diode_Vbpin,WEAK,SATURATION,True,WEAK,complex_nonmonotonic,60.49,64.35,6.95,low_agreement,120.0,0,0,,False,no_evidence,1,False,True,False,True,False,LOW_EVIDENCE
MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,PROCESS_WINDOW,True,MODERATE,monotonic,14.74,20.0,15.02,high_agreement,293.0,0,0,,False,no_evidence,3,True,True,False,True,False,HIGH_EVIDENCE
MEASURE_ET_DC_PIV_Drain_Lag_1,MODERATE,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,35.79,39.09,48.07,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_PIV_Drain_Lag_Idss,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,U_shape,72.91,81.61,81.75,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_PIV_Drain_Lag_Imax,STRONG,COMPLEX_NONLINEAR,True,STRONG,complex_nonmonotonic,18.46,21.05,19.09,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_PIV_Gate_Lag_0,STRONG,PROCESS_WINDOW,True,WEAK,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_PIV_Gate_Lag_1,WEAK,U_SHAPED,True,INCONCLUSIVE,complex_nonmonotonic,58.88,60.63,49.4,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_PIV_Gate_Lag_Idss,MODERATE,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,37.4,33.54,49.05,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_PIV_Gate_Lag_Imax,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,U_shape,23.51,23.93,7.86,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_PIV_Ids0_QP1,STRONG,COMPLEX_NONLINEAR,True,MODERATE,threshold,92.42,95.51,91.58,high_agreement,60.0,0,0,,False,no_evidence,5,True,True,False,True,False,HIGH_EVIDENCE
MEASURE_ET_DC_PIV_Ids0_QP2,WEAK,SATURATION,False,INCONCLUSIVE,U_shape,25.19,24.28,8.84,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_PIV_Ids0_QP3,WEAK,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,50.81,48.63,52.77,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_PIV_Ids1_QP1,STRONG,COMPLEX_NONLINEAR,False,INCONCLUSIVE,complex_nonmonotonic,29.75,29.12,11.37,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_PIV_Ids1_QP2,STRONG,THRESHOLD,False,MODERATE,monotonic,47.02,29.89,61.96,moderate_agreement,,0,0,,False,no_evidence,2,True,False,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_PIV_Ids1_QP3,INCONCLUSIVE,FLAT,False,WEAK,threshold,57.61,45.4,16.49,low_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_PIV_Idss_QP1,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_PIV_Idss_QP2,STRONG,COMPLEX_NONLINEAR,True,MODERATE,threshold,12.84,12.49,19.79,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_PIV_Idss_QP3,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_PIV_Imax_QP1,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_PIV_Imax_QP2,STRONG,COMPLEX_NONLINEAR,True,STRONG,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_PIV_Imax_QP3,STRONG,COMPLEX_NONLINEAR,True,STRONG,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RD_Ft,STRONG,COMPLEX_NONLINEAR,True,STRONG,threshold,79.79,80.28,72.77,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RD_Id_Vbon_max,INCONCLUSIVE,FLAT,False,STRONG,threshold,47.16,63.51,11.58,low_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RD_Id_Vbon_min,INCONCLUSIVE,FLAT,False,MODERATE,monotonic,47.3,34.25,42.88,high_agreement,,0,0,,False,no_evidence,1,True,False,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RD_K,STRONG,U_SHAPED,True,INCONCLUSIVE,complex_nonmonotonic,91.02,85.75,92.7,high_agreement,,0,0,,False,no_evidence,3,True,True,False,False,False,HIGH_EVIDENCE
MEASURE_ET_DC_RD_MSG_18GHz,INCONCLUSIVE,FLAT,False,WEAK,complex_nonmonotonic,56.42,61.26,67.09,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RD_MSG_35GHz,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,complex_nonmonotonic,77.68,71.37,71.72,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RD_S11ang_18GHz,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,66.11,70.67,67.51,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RD_S11dB_18GHz,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,69.4,77.47,73.19,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RD_S12ang_18GHz,WEAK,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,35.3,39.93,42.39,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RD_S12dB_18GHz,WEAK,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,62.32,64.28,16.77,low_agreement,224.0,0,0,,False,no_evidence,1,False,True,False,True,False,LOW_EVIDENCE
MEASURE_ET_DC_RD_S21ang_18GHz,INCONCLUSIVE,FLAT,False,MODERATE,threshold,71.16,77.96,66.32,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RD_S21dB_18GHz,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,38.6,43.72,56.63,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RD_S22ang_18GHz,STRONG,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,87.86,72.42,87.93,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RD_S22dB_18GHz,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,complex_nonmonotonic,82.81,80.63,72.7,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RD_Vboff,WEAK,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,17.61,17.12,13.4,high_agreement,254.0,0,0,,False,no_evidence,1,False,True,False,True,False,LOW_EVIDENCE
MEASURE_ET_DC_RD_Vboff_ON,INCONCLUSIVE,FLAT,False,WEAK,complex_nonmonotonic,14.18,15.72,34.04,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RD_Vbon_max,MODERATE,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,61.54,66.81,73.12,moderate_agreement,109.0,0,0,,False,no_evidence,2,True,True,False,True,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RD_Vbon_min,STRONG,THRESHOLD,False,WEAK,complex_nonmonotonic,23.72,25.12,7.37,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RD_Vg_Vbon_max,WEAK,THRESHOLD,False,INCONCLUSIVE,U_shape,30.74,32.42,43.86,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RD_Vg_Vbon_min,INCONCLUSIVE,FLAT,False,MODERATE,threshold,92.91,88.98,70.88,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_CF_S11_Mag_L1002,WEAK,SATURATION,False,WEAK,threshold,10.74,14.39,19.65,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RF_CF_S11_Mag_L1018,WEAK,THRESHOLD,False,MODERATE,complex_nonmonotonic,65.47,63.23,59.51,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S11_Mag_L2180,STRONG,U_SHAPED,True,INCONCLUSIVE,U_shape,85.54,92.7,83.65,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S11_Ph_L1002,WEAK,SATURATION,True,WEAK,complex_nonmonotonic,92.28,93.75,91.72,high_agreement,242.0,0,0,,False,no_evidence,3,True,True,False,True,False,HIGH_EVIDENCE
MEASURE_ET_DC_RF_CF_S11_Ph_L1018,STRONG,COMPLEX_NONLINEAR,True,STRONG,complex_nonmonotonic,69.75,68.7,67.86,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_CF_S11_Ph_L2180,WEAK,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,96.35,91.51,94.74,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MODERATE,THRESHOLD,False,MODERATE,monotonic,98.46,97.61,97.89,high_agreement,,2,0,0.0492,True,no_evidence,6,True,False,True,True,False,HIGH_EVIDENCE
MEASURE_ET_DC_RF_CF_S12_Mag_L1018,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,14.6,16.42,13.54,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S12_Mag_L2180,STRONG,THRESHOLD,True,WEAK,complex_nonmonotonic,81.12,82.25,84.28,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S12_Ph_L1002,WEAK,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,13.54,19.65,43.79,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RF_CF_S12_Ph_L1018,STRONG,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,78.18,77.61,80.84,high_agreement,103.0,0,0,,False,no_evidence,2,True,True,False,True,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_CF_S12_Ph_L2180,MODERATE,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,18.88,16.63,43.65,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S21_Mag_L1002,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,complex_nonmonotonic,87.02,91.23,83.86,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,STRONG,THRESHOLD,True,STRONG,threshold,90.39,91.86,89.19,high_agreement,,0,0,,False,no_evidence,3,True,True,False,False,False,HIGH_EVIDENCE
MEASURE_ET_DC_RF_CF_S21_Mag_L2180,WEAK,THRESHOLD,False,MODERATE,threshold,36.84,44.63,59.79,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S21_Ph_L1002,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,complex_nonmonotonic,83.09,91.72,90.04,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S21_Ph_L1018,WEAK,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,43.44,52.21,55.37,high_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
MEASURE_ET_DC_RF_CF_S21_Ph_L2180,STRONG,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,17.54,27.23,16.21,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S22_Mag_L1002,STRONG,COMPLEX_NONLINEAR,False,MODERATE,threshold,15.02,15.86,33.75,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_CF_S22_Mag_L1018,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,43.86,26.39,5.75,low_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S22_Mag_L2180,MODERATE,PROCESS_WINDOW,False,INCONCLUSIVE,complex_nonmonotonic,71.72,68.63,70.32,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
MEASURE_ET_DC_RF_CF_S22_Ph_L1002,STRONG,COMPLEX_NONLINEAR,False,INCONCLUSIVE,U_shape,84.0,89.89,78.74,moderate_agreement,187.0,0,0,,False,no_evidence,2,True,True,False,True,False,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,WEAK,THRESHOLD,False,STRONG,threshold,86.46,90.46,88.56,high_agreement,123.0,3,0,0.1573,False,no_evidence,3,True,True,True,True,False,HIGH_EVIDENCE
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,STRONG,SATURATION,False,MODERATE,threshold,63.65,64.91,70.39,high_agreement,92.0,0,0,,False,no_evidence,3,True,True,False,True,False,HIGH_EVIDENCE
MEASURE_ET_DC_RF_Freq_cut_L1002,WEAK,THRESHOLD,True,INCONCLUSIVE,inverted_U,17.75,19.16,33.54,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
